ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
W1-1	W1	rep01	0	eq10400_s3270	cons0.001	11	10
W1-1	W1	rep02	0	eq10400_s3270	cons0.001	11	10
W1-1	W1	rep03	0.0024	eq10400_s3270	cons0.001	11	10
W1-1	W1	rep04	0	eq10400_s3270	cons0.001	11	10
W1-1	W1	rep05	0.001	eq10400_s3270	cons0.001	11	10
W1-1	W1	rep06	0	eq10400_s3270	cons0.001	11	10
W1-1	W1	rep07	0	eq10400_s3270	cons0.001	11	10
W1-1	W1	rep08	0	eq10400_s3270	cons0.001	11	10
W1-1	W1	rep09	0	eq10400_s3270	cons0.001	11	10
W1-1	W1	rep10	0	eq10400_s3270	cons0.001	11	10
W1-2	W1	rep01	0	eq10400_s3270	cons0.001	11	10
W1-2	W1	rep02	0	eq10400_s3270	cons0.001	11	10
W1-2	W1	rep03	0	eq10400_s3270	cons0.001	11	10
W1-2	W1	rep04	0	eq10400_s3270	cons0.001	11	10
W1-2	W1	rep05	0	eq10400_s3270	cons0.001	11	10
W1-2	W1	rep06	0	eq10400_s3270	cons0.001	11	10
W1-2	W1	rep07	1e-4	eq10400_s3270	cons0.001	11	10
W1-2	W1	rep08	0	eq10400_s3270	cons0.001	11	10
W1-2	W1	rep09	0	eq10400_s3270	cons0.001	11	10
W1-2	W1	rep10	0	eq10400_s3270	cons0.001	11	10
W1-3	W1	rep01	0	eq10400_s3270	cons0.001	11	10
W1-3	W1	rep02	0	eq10400_s3270	cons0.001	11	10
W1-3	W1	rep03	2e-4	eq10400_s3270	cons0.001	11	10
W1-3	W1	rep04	0	eq10400_s3270	cons0.001	11	10
W1-3	W1	rep05	0	eq10400_s3270	cons0.001	11	10
W1-3	W1	rep06	0	eq10400_s3270	cons0.001	11	10
W1-3	W1	rep07	2e-4	eq10400_s3270	cons0.001	11	10
W1-3	W1	rep08	0	eq10400_s3270	cons0.001	11	10
W1-3	W1	rep09	0	eq10400_s3270	cons0.001	11	10
W1-3	W1	rep10	3.0000000000000003e-4	eq10400_s3270	cons0.001	11	10
W1-4	W1	rep01	0	eq10400_s3270	cons0.001	11	10
W1-4	W1	rep02	0	eq10400_s3270	cons0.001	11	10
W1-4	W1	rep03	0	eq10400_s3270	cons0.001	11	10
W1-4	W1	rep04	0	eq10400_s3270	cons0.001	11	10
W1-4	W1	rep05	0	eq10400_s3270	cons0.001	11	10
W1-4	W1	rep06	0	eq10400_s3270	cons0.001	11	10
W1-4	W1	rep07	0	eq10400_s3270	cons0.001	11	10
W1-4	W1	rep08	0	eq10400_s3270	cons0.001	11	10
W1-4	W1	rep09	0	eq10400_s3270	cons0.001	11	10
W1-4	W1	rep10	0	eq10400_s3270	cons0.001	11	10
W1-5	W1	rep01	0	eq10400_s3270	cons0.001	11	10
W1-5	W1	rep02	0	eq10400_s3270	cons0.001	11	10
W1-5	W1	rep03	0	eq10400_s3270	cons0.001	11	10
W1-5	W1	rep04	0.001	eq10400_s3270	cons0.001	11	10
W1-5	W1	rep05	0.001	eq10400_s3270	cons0.001	11	10
W1-5	W1	rep06	0	eq10400_s3270	cons0.001	11	10
W1-5	W1	rep07	0	eq10400_s3270	cons0.001	11	10
W1-5	W1	rep08	0	eq10400_s3270	cons0.001	11	10
W1-5	W1	rep09	0	eq10400_s3270	cons0.001	11	10
W1-5	W1	rep10	0	eq10400_s3270	cons0.001	11	10
W1-6	W1	rep01	3.0000000000000003e-4	eq10400_s3270	cons0.001	11	10
W1-6	W1	rep02	0	eq10400_s3270	cons0.001	11	10
W1-6	W1	rep03	0.0017	eq10400_s3270	cons0.001	11	10
W1-6	W1	rep04	0	eq10400_s3270	cons0.001	11	10
W1-6	W1	rep05	0	eq10400_s3270	cons0.001	11	10
W1-6	W1	rep06	0	eq10400_s3270	cons0.001	11	10
W1-6	W1	rep07	0.001	eq10400_s3270	cons0.001	11	10
