ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
AQ-5	AQ	rep05	1	eq10400_s3270	cons0.001	1	10
AQ-5	AQ	rep06	1	eq10400_s3270	cons0.001	1	10
AQ-5	AQ	rep07	1	eq10400_s3270	cons0.001	1	10
AQ-5	AQ	rep08	1	eq10400_s3270	cons0.001	1	10
AQ-5	AQ	rep09	1	eq10400_s3270	cons0.001	1	10
AQ-5	AQ	rep10	1	eq10400_s3270	cons0.001	1	10
AQ-6	AQ	rep01	0.9998	eq10400_s3270	cons0.001	1	10
AQ-6	AQ	rep02	1	eq10400_s3270	cons0.001	1	10
AQ-6	AQ	rep03	1	eq10400_s3270	cons0.001	1	10
AQ-6	AQ	rep04	1	eq10400_s3270	cons0.001	1	10
AQ-6	AQ	rep05	1	eq10400_s3270	cons0.001	1	10
AQ-6	AQ	rep06	0.9992	eq10400_s3270	cons0.001	1	10
AQ-6	AQ	rep07	1	eq10400_s3270	cons0.001	1	10
AQ-6	AQ	rep08	1	eq10400_s3270	cons0.001	1	10
AQ-6	AQ	rep09	1	eq10400_s3270	cons0.001	1	10
AQ-6	AQ	rep10	1	eq10400_s3270	cons0.001	1	10
AQ-7	AQ	rep01	1	eq10400_s3270	cons0.001	1	10
AQ-7	AQ	rep02	1	eq10400_s3270	cons0.001	1	10
AQ-7	AQ	rep03	1	eq10400_s3270	cons0.001	1	10
AQ-7	AQ	rep04	1	eq10400_s3270	cons0.001	1	10
AQ-7	AQ	rep05	1	eq10400_s3270	cons0.001	1	10
AQ-7	AQ	rep06	1	eq10400_s3270	cons0.001	1	10
AQ-7	AQ	rep07	1	eq10400_s3270	cons0.001	1	10
AQ-7	AQ	rep08	1	eq10400_s3270	cons0.001	1	10
AQ-7	AQ	rep09	1	eq10400_s3270	cons0.001	1	10
AQ-7	AQ	rep10	1	eq10400_s3270	cons0.001	1	10
AQ-8	AQ	rep01	1	eq10400_s3270	cons0.001	1	10
AQ-8	AQ	rep02	1	eq10400_s3270	cons0.001	1	10
AQ-8	AQ	rep03	1	eq10400_s3270	cons0.001	1	10
AQ-8	AQ	rep04	1	eq10400_s3270	cons0.001	1	10
AQ-8	AQ	rep05	1	eq10400_s3270	cons0.001	1	10
AQ-8	AQ	rep06	1	eq10400_s3270	cons0.001	1	10
AQ-8	AQ	rep07	1	eq10400_s3270	cons0.001	1	10
AQ-8	AQ	rep08	1	eq10400_s3270	cons0.001	1	10
AQ-8	AQ	rep09	1	eq10400_s3270	cons0.001	1	10
AQ-8	AQ	rep10	1	eq10400_s3270	cons0.001	1	10
AQ-9	AQ	rep01	1	eq10400_s3270	cons0.001	1	10
AQ-9	AQ	rep02	1	eq10400_s3270	cons0.001	1	10
AQ-9	AQ	rep03	1	eq10400_s3270	cons0.001	1	10
AQ-9	AQ	rep04	1	eq10400_s3270	cons0.001	1	10
AQ-9	AQ	rep05	1	eq10400_s3270	cons0.001	1	10
AQ-9	AQ	rep06	1	eq10400_s3270	cons0.001	1	10
AQ-9	AQ	rep07	1	eq10400_s3270	cons0.001	1	10
AQ-9	AQ	rep08	1	eq10400_s3270	cons0.001	1	10
AQ-9	AQ	rep09	1	eq10400_s3270	cons0.001	1	10
AQ-9	AQ	rep10	1	eq10400_s3270	cons0.001	1	10
AQ-10	AQ	rep01	1	eq10400_s3270	cons0.001	1	10
AQ-10	AQ	rep02	1	eq10400_s3270	cons0.001	1	10
AQ-10	AQ	rep03	1	eq10400_s3270	cons0.001	1	10
AQ-10	AQ	rep04	1	eq10400_s3270	cons0.001	1	10
AQ-10	AQ	rep05	1	eq10400_s3270	cons0.001	1	10
AQ-10	AQ	rep06	1	eq10400_s3270	cons0.001	1	10
AQ-10	AQ	rep07	1	eq10400_s3270	cons0.001	1	10
AQ-10	AQ	rep08	1	eq10400_s3270	cons0.001	1	10
AQ-10	AQ	rep09	1	eq10400_s3270	cons0.001	1	10
AQ-10	AQ	rep10	1	eq10400_s3270	cons0.001	1	10
AQ-11	AQ	rep01	1	eq10400_s3270	cons0.001	1	10
